variant,subject,t_ms,model,fold,base_train,base_test,base_converged,base_nfev,base_negative_scale_evals,ext_train,ext_test,ext_converged,ext_nfev,ext_negative_scale_evals,n_test
active,4,285,model2B,2,-889.77711,-216.38267,1,1121,0,-889.77711,-216.38267,1,230,0,173
active,4,285,model2B,3,-889.30121,-217.9048,0,1200,0,-888.70408,-217.14978,1,889,0,171
active,4,285,model2B,4,-903.01671,-205.06152,0,1200,0,-901.88431,-204.84664,1,3011,0,175
active,4,285,model3,0,-891.40881,-218.34905,0,1400,0,-891.40881,-218.35101,1,3605,0,135
active,4,285,model3,1,-892.57602,-213.9024,0,1400,0,-892.52044,-213.91997,0,14000,0,157
active,4,285,model3,2,-890.45163,-215.88,0,1400,0,-890.44909,-215.88839,1,2193,0,173
active,4,285,model3,3,-889.42587,-217.08626,0,1400,0,-889.42585,-217.08598,1,1596,0,171
active,4,285,model3,4,-902.56805,-205.33423,0,1400,0,-902.56805,-205.33389,1,3204,0,175
active,4,315,model2B,0,-896.63225,-193.8851,0,1200,0,-896.58413,-194.1179,1,6154,0,135
active,4,315,model2B,1,-862.7032,-228.3368,0,1200,0,-859.75639,-228.45857,1,3112,0,157
active,4,315,model2B,2,-871.66168,-213.74967,0,1200,0,-870.52747,-213.95579,1,416,0,173
active,4,315,model2B,3,-880.07154,-209.12834,0,1200,0,-876.96494,-207.30714,1,1379,0,171
active,4,315,model2B,4,-878.66814,-206.3264,0,1200,0,-878.66177,-206.33064,1,3234,0,175
active,4,315,model3,0,-891.27836,-194.20734,0,1400,0,-891.26336,-194.19089,1,5689,0,135
active,4,315,model3,1,-858.17491,-227.8145,0,1400,0,-857.912,-227.3429,1,684,0,157
active,4,315,model3,2,-870.48368,-214.11029,0,1400,0,-870.47339,-214.15997,1,5465,0,173
active,4,315,model3,3,-877.03112,-207.79614,0,1400,0,-876.74941,-207.37855,1,1214,0,171
active,4,315,model3,4,-878.82725,-206.42447,1,1169,0,-878.78421,-206.61231,1,1492,0,175
active,4,435,model2B,0,-888.23759,-194.82499,0,1200,0,-888.2334,-194.78179,1,626,0,135
active,4,435,model2B,1,-878.95783,-202.86672,1,893,0,-878.9434,-202.83783,1,1198,0,157
active,4,435,model2B,2,-835.14466,-249.61848,0,1200,0,-834.18553,-249.52374,1,1216,0,173
active,4,435,model2B,3,-881.20988,-203.17693,1,1178,0,-880.09286,-202.49098,1,694,0,171
active,4,435,model2B,4,-887.79275,-195.69196,0,1200,0,-887.62239,-195.70661,1,11095,0,175
active,4,435,model3,0,-888.58133,-194.39361,0,1400,0,-888.42817,-194.25732,1,3587,0,135
active,4,435,model3,1,-878.96571,-203.18526,0,1400,0,-878.16934,-203.5308,0,14000,0,157
active,4,435,model3,2,-834.30088,-249.54936,0,1400,0,-834.26633,-249.47084,1,1242,0,173
active,4,435,model3,3,-880.92279,-201.96789,1,1143,0,-879.92002,-202.55124,1,2751,0,171
active,4,435,model3,4,-887.5916,-195.99676,0,1400,0,-887.58985,-195.96547,0,14000,0,175
active,4,465,model2B,0,-909.98541,-240.6239,0,1200,0,-909.97817,-240.66502,0,14000,0,135
active,4,465,model2B,1,-936.62021,-207.41414,0,1200,0,-936.33113,-206.91083,1,440,0,157
active,4,465,model2B,2,-903.28291,-240.20027,0,1200,0,-901.68082,-242.11041,1,984,0,173
active,4,465,model2B,3,-931.56815,-212.47963,1,633,0,-930.67466,-212.9468,1,3288,0,171
active,4,465,model2B,4,-934.43746,-210.1478,0,1200,0,-934.3999,-210.02687,1,459,0,175
active,4,465,model3,0,-911.5789,-238.70236,0,1400,0,-911.56493,-238.76154,1,1306,0,135
active,4,465,model3,1,-938.86827,-209.5189,0,1400,0,-935.28537,-210.69266,1,7375,0,157
active,4,465,model3,2,-904.3712,-240.68014,1,935,0,-902.90165,-242.62656,0,14000,0,173
active,4,465,model3,3,-932.26385,-213.07333,0,1400,0,-931.2763,-214.09393,0,14000,0,171
active,4,465,model3,4,-935.52066,-210.70498,1,1170,0,-935.45751,-210.32834,0,14000,0,175
active,4,495,model2B,0,-968.10252,-241.22869,0,1200,0,-968.09901,-241.2085,1,392,0,135
active,4,495,model2B,1,-984.42694,-219.83683,1,627,0,-984.42652,-219.84212,1,357,0,157
active,4,495,model2B,2,-964.8778,-239.5456,0,1200,0,-964.87633,-239.56042,1,276,0,173
active,4,495,model2B,3,-970.4728,-234.17458,1,1177,0,-970.46075,-234.12495,1,1490,0,171
active,4,495,model2B,4,-974.60153,-230.37428,1,646,0,-974.60129,-230.38123,1,366,0,175
active,4,495,model3,0,-966.19204,-237.79647,0,1400,0,-966.05934,-235.57148,0,14000,0,135
active,4,495,model3,1,-979.36043,-219.07713,0,1400,0,-978.75591,-219.10229,1,8924,0,157
active,4,495,model3,2,-960.6396,-237.74687,0,1400,0,-960.18807,-237.69494,0,14000,0,173
active,4,495,model3,3,-963.99994,-233.77231,0,1400,0,-963.90244,-233.77791,0,14000,0,171
active,4,495,model3,4,-968.50516,-229.88329,0,1400,0,-968.31445,-229.95814,0,14000,0,175
active,5,255,model2B,0,-1113.0977,-241.15991,0,1200,0,-1109.7258,-242.18812,1,942,0,147
active,5,255,model2B,1,-1056.1674,-294.80075,0,1200,0,-1056.1674,-294.80124,1,189,0,184
active,5,255,model2B,2,-1072.7325,-280.18721,1,937,0,-1072.4931,-279.68971,1,290,0,180
active,5,255,model2B,3,-1085.967,-274.51807,0,1200,0,-1081.8863,-272.4395,1,2415,0,182
active,5,255,model2B,4,-1082.2579,-269.05626,0,1200,0,-1082.1907,-268.98038,1,291,0,185
active,5,255,model3,0,-1110.7257,-241.44131,1,718,0,-1110.7254,-241.43961,1,6208,0,147
active,5,255,model3,1,-1055.7541,-294.57652,0,1400,0,-1055.7482,-294.57021,1,9588,0,184
active,5,255,model3,2,-1072.1363,-279.0145,1,1052,0,-1072.1202,-279.0007,0,14000,0,180
active,5,255,model3,3,-1078.3104,-273.10062,0,1400,0,-1078.3021,-273.06711,1,594,0,182
active,5,255,model3,4,-1079.7518,-270.50974,1,745,0,-1079.7465,-270.48484,1,1594,0,185
active,5,285,model2B,0,-1159.1409,-266.6658,1,1098,0,-1159.1409,-266.6659,1,209,0,147
active,5,285,model2B,1,-1114.0452,-311.12051,0,1200,0,-1114.0452,-311.12095,1,161,0,184
active,5,285,model2B,2,-1138.0405,-287.47957,1,972,0,-1138.0405,-287.47973,1,175,0,180
active,5,285,model2B,3,-1134.9696,-289.31377,1,953,0,-1134.9696,-289.31377,1,193,0,182
active,5,285,model2B,4,-1145.1334,-279.81522,1,847,0,-1145.1334,-279.81517,1,190,0,185
active,5,285,model3,0,-1159.7199,-264.49614,0,1400,0,-1159.6974,-264.52744,0,14000,0,147
active,5,285,model3,1,-1111.9753,-311.78063,1,579,0,-1111.9399,-311.74454,0,14000,0,184
active,5,285,model3,2,-1136.674,-286.822,1,565,0,-1136.6678,-286.8018,1,13611,0,180
active,5,285,model3,3,-1134.4072,-289.58621,1,1001,0,-1134.3299,-289.67919,0,14000,0,182
