subject,window,t_ms,model0,model2B,model3
10,13,105,-156.416,-156.447,-155.717
10,14,135,-168.22,-168.61,-166.74
10,15,165,-179.026,-178.899,-177.862
10,16,195,-223.024,-219.874,-219.474
10,17,225,-244.246,-237.232,-237.986
10,18,255,-260.308,-251.362,-251.279
10,19,285,-300.631,-283.335,-283.835
10,20,315,-356.174,-328.19,-328.623
10,21,345,-391.218,-359.227,-359.506
10,22,375,-413.274,-380.327,-379.316
10,23,405,-441.181,-405.545,-404.631
10,24,435,-450.198,-414.45,-411.988
10,25,465,-415.481,-386.274,-384.327
10,26,495,-366.892,-348.495,-348.884
10,27,525,-346.837,-332.779,-332.891
10,28,555,-328.87,-316.84,-316.242
10,29,585,-291.198,-285.4,-284.496
10,30,615,-253.032,-250.264,-249.685
10,31,645,-237.823,-233.991,-232.423
10,32,675,-226.177,-221.015,-220.894
10,33,705,-232.031,-230.371,-229.399
10,34,735,-224.932,-223.297,-223.962
10,35,765,-198.295,-197.627,-196.857
10,36,795,-179.831,-179.641,-179.911
10,37,825,-192.331,-192.154,-192.124
10,38,855,-186.184,-186.332,-185.984
10,39,885,-169.727,-169.78,-170.129
10,40,915,-180.01,-179.977,-179.749
10,41,945,-177.954,-177.754,-178.005
10,42,975,-173.735,-174.274,-173.753
10,43,1005,-162.438,-162.394,-161.817
10,44,1035,-160.552,-160.398,-160.346
10,45,1065,-164.766,-164.837,-165.061
10,46,1095,-160.18,-160.394,-160.069
10,47,1125,-159.867,-160.041,-159.416
10,48,1155,-161.107,-161.102,-161.175
10,49,1185,-137.483,-137.149,-137.15
10,50,1215,-128.204,-127.937,-127.361
10,51,1245,-134.529,-134.111,-133.242
10,52,1275,-140.535,-140.91,-140.76
11,0,-285,-128.87,-128.486,-128.79
11,1,-255,-133.609,-133.513,-133.711
11,2,-225,-123.698,-124.114,-124.03
11,3,-195,-118.805,-119.289,-119.582
11,4,-165,-120.574,-121.669,-121.368
11,5,-135,-134.599,-135.458,-134.99
11,6,-105,-127.514,-128.326,-126.76
11,7,-75,-121.489,-121.941,-121.213
11,8,-45,-126.083,-126.575,-126.23
11,9,-15,-136.491,-136.962,-137.36
11,10,15,-140.15,-140.41,-140.721
11,11,45,-130.552,-130.826,-130.664
11,12,75,-153.089,-152.759,-152.769
11,13,105,-175.8,-174.931,-175.036
11,14,135,-183.416,-182.767,-183.035
11,15,165,-165.864,-164.256,-165.303
11,16,195,-188.08,-186.099,-186.639
11,17,225,-206.086,-204.54,-205.033
11,18,255,-202.194,-199.708,-199.946
11,19,285,-205.438,-201.383,-201.504
11,20,315,-222.734,-219.298,-217.995
11,21,345,-257.021,-250.454,-249.821
11,22,375,-316.667,-301.257,-299.91
11,23,405,-350.998,-328.719,-328.174
11,24,435,-334.675,-310.359,-310.155
11,25,465,-300.236,-286.078,-285.186
11,26,495,-275.259,-268.116,-267.423
11,27,525,-265.745,-259.573,-259.873
11,28,555,-255.129,-249.922,-249.809
11,29,585,-255.276,-249.991,-249.762
11,30,615,-259.245,-252.249,-252.674
11,31,645,-258.305,-251.841,-252.179
11,32,675,-266.757,-260.943,-261.732
11,33,705,-272.107,-266.259,-267.885
11,34,735,-259.501,-253.483,-254.022
11,35,765,-245.169,-240.661,-242.358
11,36,795,-231.53,-228.918,-230.858
11,37,825,-232.359,-230.019,-230.577
11,38,855,-223.808,-221.755,-221.506
11,39,885,-218.674,-217.51,-216.64
11,40,915,-217.366,-217.818,-216.6
11,41,945,-222.087,-222.349,-215.778
11,42,975,-209.695,-211.022,-209.398
11,43,1005,-192.67,-194.247,-192.785
11,44,1035,-196.439,-197.069,-195.081
11,45,1065,-210.937,-209.867,-207.589
11,46,1095,-209.592,-208.688,-209.373
11,47,1125,-188.151,-186.641,-188.285
11,48,1155,-192.562,-191.024,-191.957
11,49,1185,-208.084,-204.919,-207.029
11,50,1215,-200.033,-199.417,-200.23
11,51,1245,-181.867,-180.962,-182.437
11,52,1275,-172.476,-172.544,-172.68
12,0,-285,-94.2376,-94.7953,-95.6343
12,1,-255,-78.569,-78.4963,-78.5312
12,2,-225,-71.2443,-70.6665,-71.2769
12,3,-195,-82.1751,-82.2316,-82.4839
12,4,-165,-89.8543,-90.1383,-89.7456
12,5,-135,-97.6992,-97.6094,-97.684
12,6,-105,-126.582,-126.764,-127.079
12,7,-75,-146.874,-147.299,-147.128
12,8,-45,-163.859,-164.077,-164.151
12,9,-15,-157.99,-158.126,-157.803
12,10,15,-170.222,-170.777,-170.554
12,11,45,-163.467,-163.184,-163.83
12,12,75,-152.923,-153.395,-152.924
12,13,105,-178.007,-177.862,-177.676
12,14,135,-211.776,-209.29,-209.35
12,15,165,-219.889,-214.569,-214.858
12,16,195,-218.347,-212.291,-213.128
12,17,225,-237.898,-229.491,-229.561
12,18,255,-247.409,-237.831,-237.44
12,19,285,-241.165,-233.894,-233.388
12,20,315,-245.273,-237.703,-238.645
12,21,345,-266.013,-258.288,-258.284
12,22,375,-279.537,-267.87,-267.798
12,23,405,-316.195,-296.653,-296.772
12,24,435,-365.618,-341.239,-340.499
12,25,465,-368.262,-345.9,-344.49
12,26,495,-326.343,-309.777,-309.965
12,27,525,-328.799,-313.968,-313.51
12,28,555,-374.35,-353.044,-352.719
12,29,585,-372.5,-350.109,-349.86
12,30,615,-333.698,-319.531,-320.205
12,31,645,-312.781,-301.866,-302.396
12,32,675,-317.631,-305.306,-306.042
12,33,705,-292.245,-281.805,-282.247
12,34,735,-249.942,-245.325,-245.559
12,35,765,-239.882,-237.317,-237.878
12,36,795,-237.18,-234.251,-235.202
12,37,825,-236.464,-234.887,-235.039
12,38,855,-226.197,-224.945,-224.703
12,39,885,-213.616,-211.704,-211.152
12,40,915,-200.55,-198.911,-198.949
12,41,945,-183.413,-183.341,-182.945
12,42,975,-183.95,-183.659,-183.972
12,43,1005,-188.621,-188.736,-188.507
12,44,1035,-162.279,-162.526,-162.648
12,45,1065,-155.08,-155.132,-155.347
12,46,1095,-156.373,-156.324,-156.535
12,47,1125,-150.971,-150.679,-151.342
12,48,1155,-130.212,-129.788,-129.751
12,49,1185,-127.269,-127.513,-126.561
12,50,1215,-141.54,-141.317,-141.678
12,51,1245,-139.395,-139.434,-139.391
12,52,1275,-145.542,-144.804,-145.911
13,0,-285,-111.349,-111.353,-111.551
13,1,-255,-114.11,-114.55,-114.114
13,2,-225,-93.7683,-94.1017,-93.9569
13,3,-195,-94.1327,-94.2737,-94.3628
13,4,-165,-111.752,-110.709,-110.983
13,5,-135,-127.124,-127.24,-127.021
13,6,-105,-97.628,-97.9265,-96.0154
13,7,-75,-102.498,-102.747,-102.887
13,8,-45,-121.306,-121.44,-121.732
13,9,-15,-145.662,-145.638,-145.539
13,10,15,-183.205,-182.654,-182.611
