subject,window,t_ms,model0,model2B,model3
10,20,315,-262.975,-251.333,-250.541
10,21,345,-288.827,-275.75,-275.318
10,22,375,-296.739,-284.534,-284.699
10,23,405,-289.036,-275.012,-275.541
10,24,435,-283.025,-271.944,-272.546
10,25,465,-252.614,-245.362,-245.74
10,26,495,-230.434,-226.909,-227.879
10,27,525,-229.311,-225.943,-226.996
10,28,555,-209.309,-206.455,-206.559
10,29,585,-184.532,-183.543,-183.708
10,30,615,-198.786,-198.812,-198.883
10,31,645,-206.844,-207.266,-206.971
10,32,675,-197.939,-197.908,-197.525
10,33,705,-196.953,-196.64,-197.102
10,34,735,-197.573,-197.576,-197.931
10,35,765,-176.201,-176.864,-176.616
10,36,795,-164.34,-164.469,-165.519
10,37,825,-172.647,-172.965,-173.275
10,38,855,-171.844,-171.739,-171.844
10,39,885,-165.135,-165.252,-165.117
10,40,915,-160.062,-159.869,-159.3
10,41,945,-155.511,-156.253,-155.642
10,42,975,-154.263,-155.091,-154.483
10,43,1005,-159.283,-159.599,-159.309
10,44,1035,-171.712,-171.327,-171.541
10,45,1065,-171.628,-171.529,-171.4
10,46,1095,-171.677,-172.219,-172.078
10,47,1125,-176.878,-176.659,-177.198
10,48,1155,-182.254,-181.96,-181.998
10,49,1185,-195.174,-194.725,-195.384
10,50,1215,-207.442,-206.477,-207.181
10,51,1245,-213.726,-212.395,-212.872
10,52,1275,-199.017,-198.558,-199.359
11,0,-285,-154.136,-154.696,-153.91
11,1,-255,-169.973,-170.243,-170.459
11,2,-225,-171.591,-172.457,-172.573
11,3,-195,-162.715,-162.86,-162.8
11,4,-165,-154.132,-154.953,-153.595
11,5,-135,-148.77,-148.604,-148.442
11,6,-105,-166.018,-166.492,-166.53
11,7,-75,-180.018,-180.423,-180.13
11,8,-45,-183.502,-183.969,-183.387
11,9,-15,-204.529,-204.919,-205.221
11,10,15,-222.584,-222.827,-222.806
11,11,45,-233.602,-233.518,-233.686
11,12,75,-247.347,-247.354,-247.22
11,13,105,-245.479,-245.574,-245.663
11,14,135,-244.591,-245.041,-244.355
11,15,165,-263.663,-263.092,-263.283
11,16,195,-275.07,-273.794,-272.412
11,17,225,-288.495,-285.956,-285.97
11,18,255,-300.217,-295.501,-295.756
11,19,285,-312.365,-306.009,-305.544
