subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,passive,10,15,model0,3,-615.957,-143.062,1,75,707,186,0.578258,0.00860718,,,,,
1,passive,10,15,model0,4,-624.293,-135.07,1,78,710,183,0.582978,0.0108042,,,,,
1,passive,10,15,model2B,0,-568.365,-192.461,0,1200,722,171,24.2194,0.0720858,0.850359,0.840764,0.516874,0.0403234,
1,passive,10,15,model2B,1,-618.481,-138.841,0,1200,726,167,-371.361,0.00415936,10.4502,1.35618,0.553368,0.0258777,
1,passive,10,15,model2B,2,-600.424,-156.992,0,1200,707,186,-118.104,0.00733481,2.2704,4.50282,0.487785,0.0259703,
1,passive,10,15,model2B,3,-614.595,-143.259,0,1200,707,186,-1259.17,0.00123643,6.69465,12.4331,0.4801,0.0108031,
1,passive,10,15,model2B,4,-623.178,-134.818,0,1200,710,183,-1154.61,0.00134911,33.4198,1.99309,0.561232,0.0267729,
1,passive,10,15,model3,0,-568.326,-192.999,0,1400,722,171,2.30481,0.111934,0.0155511,-0.0962548,0.176177,1.1586,0.532536
1,passive,10,15,model3,1,-618.514,-139.643,0,1400,726,167,65.7252,-1.25027,0.0187838,-1.7165,6.00861,0.0144974,0.56727
1,passive,10,15,model3,2,-601.856,-156.48,0,1400,707,186,1.7057,-0.200007,0.0176527,-0.36167,0.73631,0.0609618,0.567911
1,passive,10,15,model3,3,-615.806,-142.882,0,1400,707,186,50.8456,-0.56368,0.00495569,-0.576671,1.85517,0.0161704,0.578066
1,passive,10,15,model3,4,-624.211,-135.009,0,1400,710,183,-59.5082,0.331721,0.00219126,-0.372079,0.518465,0.0169852,0.582311
1,passive,11,45,model0,0,-565.034,-170.091,1,77,722,171,0.529201,0.0135748,,,,,
1,passive,11,45,model0,1,-590.637,-143.328,1,83,726,167,0.545868,-0.00730719,,,,,
1,passive,11,45,model0,2,-588.67,-145.239,1,78,707,186,0.556412,0.0164765,,,,,
1,passive,11,45,model0,3,-600.506,-133.911,1,86,707,186,0.565755,0.0144626,,,,,
1,passive,11,45,model0,4,-587.253,-146.655,1,78,710,183,0.553319,-0.00678726,,,,,
1,passive,11,45,model2B,0,-563.49,-169.485,0,1200,722,171,-1.26871,0.0166269,-4.69125,-0.207435,0.53098,-0.0350472,
1,passive,11,45,model2B,1,-588.591,-143.19,0,1200,726,167,-17.2484,-0.0521558,2.20666,-0.264878,0.542639,-0.0622965,
1,passive,11,45,model2B,2,-586.617,-145.18,1,681,707,186,7.06664,-0.103179,0.836053,-0.488103,0.563064,-0.0349394,
1,passive,11,45,model2B,3,-598.798,-133.391,0,1200,707,186,-12.3801,-0.109026,1.2529,-0.472271,0.571272,-0.0314042,
1,passive,11,45,model2B,4,-585.63,-146.107,0,1200,710,183,138.608,-0.00780732,13.0894,-0.369141,0.549709,-0.0557218,
1,passive,11,45,model3,0,-561.9,-170.899,0,1400,722,171,37.0086,-0.0362741,0.12739,-0.0484354,-0.118923,0.161218,0.522457
1,passive,11,45,model3,1,-588.387,-142.992,0,1400,726,167,1.35378,0.297211,0.0773641,-0.437146,0.73439,-0.051055,0.539469
1,passive,11,45,model3,2,-586.078,-145.062,0,1400,707,186,9.52198,-0.150768,0.127162,-0.607578,0.878893,-0.079285,0.548879
1,passive,11,45,model3,3,-598.869,-132.986,1,1377,707,186,1.81129,0.266867,0.097967,0.0423909,-0.243913,-0.0477172,0.55913
1,passive,11,45,model3,4,-585.348,-145.838,0,1400,710,183,-0.0282557,0.0711931,0.0797395,0.0315747,-0.17631,0.465281,0.543608
1,passive,12,75,model0,0,-617.929,-177.567,1,93,722,171,0.569472,0.0277969,,,,,
1,passive,12,75,model0,1,-640.39,-154.51,1,74,726,167,0.584599,-0.00478396,,,,,
1,passive,12,75,model0,2,-632.283,-162.092,1,79,707,186,0.591751,0.0238161,,,,,
1,passive,12,75,model0,3,-643.754,-151.265,1,86,707,186,0.601421,0.032979,,,,,
1,passive,12,75,model0,4,-640.303,-154.395,1,63,710,183,0.596263,0.00117043,,,,,
1,passive,12,75,model2B,0,-615.803,-177.771,0,1200,722,171,-4.85156,0.0750239,-1.4533,0.0933694,0.565202,-0.034243,
1,passive,12,75,model2B,1,-638.442,-154.492,0,1200,726,167,-5.88988,-0.281127,0.969563,0.341727,0.584369,-0.0526007,
1,passive,12,75,model2B,2,-630.09,-162.16,0,1200,707,186,-6.97182,0.399953,-2.61818,0.188936,0.585488,-0.0256292,
1,passive,12,75,model2B,3,-642.631,-150.379,0,1200,707,186,-4.52453,-0.413994,0.854282,0.0157431,0.599769,-0.00430693,
1,passive,12,75,model2B,4,-638.81,-153.849,0,1200,710,183,0.0143158,-0.464712,0.255446,0.0809357,0.594944,-0.0456198,
1,passive,12,75,model3,0,-615.465,-179.1,0,1400,722,171,4.99758,0.0357118,0.11938,-0.0411702,-0.232442,0.517619,0.557821
1,passive,12,75,model3,1,-638.718,-154.176,0,1400,726,167,-4.88829,0.0473133,0.0418358,-0.144572,3.61413,-0.486645,0.58139
1,passive,12,75,model3,2,-630.316,-162.184,0,1400,707,186,7.55368,-0.21056,0.0951092,0.910613,-2.22514,0.0693824,0.587712
1,passive,12,75,model3,3,-642.056,-150.905,1,1295,707,186,-1.70797,0.230275,0.075516,-0.0272381,6.65044,-1.41079,0.599135
1,passive,12,75,model3,4,-638.046,-154.838,0,1400,710,183,0.920548,1.86879,0.0547454,0.405127,-0.442433,10.6369,0.593917
1,passive,13,105,model0,0,-672.005,-206.4,1,85,722,171,0.613767,0.016987,,,,,
1,passive,13,105,model0,1,-703.473,-173.199,1,77,726,167,0.637624,-0.0100425,,,,,
1,passive,13,105,model0,2,-693.597,-182.516,1,279,707,186,0.645428,0.0196901,,,,,
1,passive,13,105,model0,3,-713.584,-163.203,1,223,707,186,0.663916,0.017982,,,,,
1,passive,13,105,model0,4,-717.87,-158.96,1,80,710,183,0.665057,0.0125304,,,,,
1,passive,13,105,model2B,0,-671.939,-206.463,0,1200,722,171,-24.707,-0.136442,0.884507,-0.901897,0.62902,0.0104833,
1,passive,13,105,model2B,1,-702.952,-173.435,1,1112,726,167,8.82127,-0.818921,-1.64076,0.145051,0.638663,0.0379299,
1,passive,13,105,model2B,2,-693.487,-182.738,0,1200,707,186,-15.7998,-0.0414672,0.653614,-0.397833,0.653128,0.00515585,
1,passive,13,105,model2B,3,-713.039,-163.976,0,1200,707,186,-134.107,-0.000111002,6.85462,-54.9934,1.72712,0.0188659,
1,passive,13,105,model2B,4,-717.856,-158.929,0,1200,710,183,-621.084,-2.36036e-06,20.5334,-139.115,2.45381,0.0128278,
1,passive,13,105,model3,0,-672.005,-206.354,1,1154,722,171,37.489,0.187224,0.0163142,0.902008,-1.8796,0.0430201,0.613425
1,passive,13,105,model3,1,-703.351,-173.304,0,1400,726,167,-75.425,0.406317,-0.0298399,0.146168,-0.724597,-0.0168812,0.637903
1,passive,13,105,model3,2,-691.363,-182.925,0,1400,707,186,-0.525527,-0.537719,0.0348835,4.48033,-4.97127,1.0865,0.635078
