t_ms,r_sd_mean,r_sd_sem,t_sd,p_sd,p_sd_fdr,r_mean_mean,r_mean_sem,t_mean,p_mean,p_mean_fdr
-128,-0.09806,0.1088,-0.9012,0.8106,0.9881,0.005264,0.1171,0.04497,0.4823,0.5113
-126,-0.08282,0.1057,-0.7837,0.7786,0.9881,0.01025,0.1173,0.08742,0.4656,0.4945
-124,-0.06599,0.1031,-0.6399,0.7351,0.9881,0.01554,0.117,0.1328,0.4479,0.4765
-122,-0.04963,0.1016,-0.4884,0.6846,0.9881,0.02181,0.1165,0.1873,0.4267,0.4547
-120,-0.03518,0.1007,-0.3493,0.6346,0.9881,0.02931,0.1156,0.2535,0.4013,0.4284
-118,-0.02293,0.0999,-0.2296,0.5896,0.9881,0.03806,0.1146,0.332,0.3717,0.3978
-116,-0.01271,0.09891,-0.1285,0.5504,0.9881,0.04785,0.1135,0.4217,0.339,0.3643
-114,-0.004515,0.0979,-0.04612,0.5182,0.9881,0.05831,0.1122,0.5197,0.3046,0.3288
-112,0.001386,0.09713,0.01427,0.4944,0.9881,0.06897,0.1108,0.6223,0.2706,0.2931
-110,0.00477,0.09677,0.04929,0.4806,0.9881,0.07935,0.1094,0.7256,0.2385,0.2597
-108,0.005615,0.09677,0.05802,0.4772,0.9881,0.08916,0.1079,0.8263,0.2094,0.2298
-106,0.004188,0.09692,0.04321,0.483,0.9881,0.09836,0.1066,0.9223,0.184,0.2035
-104,0.00107,0.09691,0.01104,0.4957,0.9881,0.1072,0.1059,1.013,0.162,0.1803
-102,-0.00299,0.0964,-0.03102,0.5122,0.9881,0.1162,0.1059,1.097,0.1432,0.1603
-100,-0.007482,0.09522,-0.07858,0.5309,0.9881,0.1254,0.1067,1.175,0.1273,0.1442
-98,-0.01249,0.0935,-0.1336,0.5524,0.9881,0.1348,0.1083,1.245,0.1141,0.1303
-96,-0.01848,0.09154,-0.2019,0.5789,0.9881,0.1442,0.1103,1.308,0.1033,0.1185
-94,-0.02578,0.08965,-0.2875,0.6116,0.9881,0.1532,0.1125,1.361,0.09465,0.1092
-92,-0.03415,0.08813,-0.3875,0.6487,0.9881,0.1614,0.1148,1.407,0.08785,0.1022
-90,-0.04284,0.08719,-0.4913,0.6856,0.9881,0.1687,0.1167,1.445,0.08234,0.0961
-88,-0.05097,0.0868,-0.5872,0.718,0.9881,0.1751,0.1181,1.482,0.07733,0.09068
-86,-0.05805,0.08672,-0.6694,0.7444,0.9881,0.1813,0.1188,1.527,0.07164,0.08448
-84,-0.06411,0.08672,-0.7393,0.7656,0.9881,0.1887,0.1182,1.597,0.06334,0.07505
-82,-0.06962,0.08654,-0.8044,0.7844,0.9881,0.2003,0.116,1.727,0.05021,0.06064
-80,-0.07644,0.0852,-0.8972,0.8096,0.9881,0.2189,0.1134,1.93,0.03431,0.04293
-78,-0.09633,0.07738,-1.245,0.8858,0.9881,0.2396,0.114,2.102,0.02456,0.03208
-76,-0.142,0.07382,-1.924,0.9652,0.9881,0.2527,0.1169,2.161,0.02182,0.02924
-74,-0.157,0.08136,-1.93,0.9657,0.9881,0.2583,0.1193,2.166,0.02162,0.02909
-72,-0.1563,0.08562,-1.825,0.9581,0.9881,0.2605,0.1207,2.158,0.02198,0.02941
-70,-0.1501,0.08881,-1.691,0.9464,0.9881,0.2616,0.1215,2.152,0.02222,0.02959
-68,-0.1408,0.09169,-1.536,0.9295,0.9881,0.2629,0.1219,2.157,0.022,0.02941
-66,-0.1295,0.09447,-1.371,0.9068,0.9881,0.2656,0.1219,2.179,0.02105,0.02844
-64,-0.1173,0.09718,-1.207,0.8788,0.9881,0.2704,0.1216,2.224,0.01925,0.02627
-62,-0.1047,0.09972,-1.05,0.8465,0.9881,0.2779,0.1215,2.287,0.01691,0.02338
-60,-0.09153,0.1018,-0.8992,0.8101,0.9881,0.2868,0.122,2.351,0.01482,0.02072
-58,-0.07736,0.1032,-0.7495,0.7686,0.9881,0.294,0.1229,2.393,0.01361,0.01915
-56,-0.06279,0.1042,-0.6026,0.723,0.9881,0.2977,0.1235,2.412,0.01308,0.01852
-54,-0.04904,0.1052,-0.4661,0.6768,0.9881,0.2993,0.1236,2.421,0.01283,0.0182
-52,-0.03674,0.1065,-0.3449,0.633,0.9881,0.3,0.1235,2.429,0.01262,0.01795
-50,-0.02594,0.1083,-0.2396,0.5934,0.9881,0.3006,0.1233,2.438,0.01237,0.01761
-48,-0.01646,0.1104,-0.1491,0.5585,0.9881,0.3014,0.123,2.45,0.01207,0.01729
-46,-0.008183,0.1129,-0.07249,0.5285,0.9881,0.3025,0.1228,2.463,0.01174,0.01685
-44,-0.001191,0.1155,-0.01031,0.5041,0.9881,0.3039,0.1227,2.477,0.01141,0.01647
-42,0.004038,0.1179,0.03426,0.4865,0.9881,0.3054,0.1227,2.49,0.01111,0.01609
-40,0.006861,0.1194,0.05745,0.4774,0.9881,0.3069,0.1227,2.5,0.01087,0.01576
-38,0.007293,0.1199,0.06083,0.4761,0.9881,0.3081,0.1228,2.508,0.0107,0.01557
-36,0.006482,0.1195,0.05422,0.4787,0.9881,0.3086,0.1229,2.512,0.0106,0.0155
-34,0.006009,0.1188,0.05058,0.4801,0.9881,0.3082,0.1226,2.513,0.01058,0.0155
-32,0.007098,0.1179,0.06021,0.4763,0.9881,0.3065,0.122,2.512,0.0106,0.0155
-30,0.01049,0.1169,0.0897,0.4647,0.9881,0.3035,0.1209,2.511,0.01063,0.0155
-28,0.01659,0.1158,0.1432,0.4438,0.9881,0.2992,0.1191,2.511,0.01061,0.0155
-26,0.02564,0.1148,0.2234,0.4128,0.9881,0.2937,0.1166,2.519,0.01044,0.01533
